year,Ethiopia | gdp_growth_pct,Ethiopia | private_consumption_growth_pct,Ethiopia | unemployment_total_pct,Ethiopia | unemployment_youth_pct,Kenya | gdp_growth_pct,Kenya | private_consumption_growth_pct,Kenya | unemployment_total_pct,Kenya | unemployment_youth_pct,Rwanda | gdp_growth_pct,Rwanda | private_consumption_growth_pct,Rwanda | unemployment_total_pct,Rwanda | unemployment_youth_pct,Tanzania | gdp_growth_pct,Tanzania | private_consumption_growth_pct,Tanzania | unemployment_total_pct,Tanzania | unemployment_youth_pct
1995,6.12751141587474,,3.005,4.501,4.40621652482287,14.0007215421948,2.848,6.513,35.2240783089712,1.59974547452939,11.938,15.352,3.56991186849247,4.28411670835445,3.672,6.327
1996,12.4261737814951,,3.121,4.678,4.14683926876013,2.59876793380154,2.773,6.411,12.7456957645316,7.83047650817699,11.507,14.881,4.54436680394173,7.15418026369923,3.475,6.047
1997,3.1339068517801,,3.227,4.844,0.474901921293579,3.82105894007299,2.818,6.536,13.8497524857822,9.86100184431042,11.087,14.425,3.52527818941036,8.70295390943826,3.342,5.852
1998,-3.4581391346848,,3.481,5.158,3.29021372249065,4.57768230869955,2.843,6.62,8.85866949392693,13.7705120319494,11.255,14.685,3.70851159859504,14.2192415728081,3.283,5.764
1999,5.16214582255112,,3.714,5.447,2.30538859522412,4.09898223281637,2.884,6.736,4.35188831936337,16.1009660507011,11.569,15.164,4.86386375362282,4.85871740912951,3.219,5.669
2000,6.07321748125295,,3.499,5.127,0.599695390807426,-0.383022773245003,2.884,6.763,8.37089593548548,11.8109624231518,11.699,15.439,4.52078463603256,1.21187627981358,3.129,5.544
2001,8.30130632267965,,3.16,4.683,3.77990649795343,4.14772734653029,2.876,6.778,8.4845603416011,4.42379917636563,11.732,15.603,6.07080828734129,2.9224067686888,2.994,5.354
2002,1.51472570667433,,3.054,4.472,0.546859530175595,0.843318429239346,2.916,6.885,13.1920736254262,13.6058497309208,11.432,15.368,7.09319498355502,5.80642302261465,3.023,5.451
2003,-2.16135972256865,,3.008,4.316,2.93247554570904,2.20268030860215,2.869,6.829,2.20238751139603,-4.43209668230885,11.658,15.684,6.67278983053497,1.93932539731674,3.053,5.544
2004,13.5726031401471,,2.776,3.982,5.10429977629738,2.41994762408066,2.844,6.818,7.44766737034072,6.74139554132498,11.699,15.779,7.50381465859829,6.03881179126853,3.105,5.665
2005,11.8187659491625,,2.497,3.602,5.90666607980057,6.46642969189901,2.739,6.654,9.3778991673686,8.71104000149458,11.842,15.995,7.47631925974784,8.55064021402589,3.193,5.831
2006,10.8347270679373,,2.337,3.45,6.47249430015484,9.92487153475959,2.673,6.571,9.22707576798881,10.2110668199742,11.586,15.772,6.53222138847813,9.39589958139561,3.299,6.021
2007,11.4561670019891,,2.337,3.457,6.85072976998784,5.29580285340012,2.642,6.561,7.63329819125276,2.59989165307191,11.58,15.831,6.76853520293716,5.49644958600277,3.023,5.632
2008,10.7885216870332,,2.326,3.453,0.232282744812977,-1.51901516510466,2.751,6.839,11.1612473247323,7.88497063652594,11.517,15.828,5.68641685905224,0.0298625244759592,2.775,5.267
2009,8.8025531990487,,2.326,3.46,3.30693981631089,4.58906527400642,2.816,7.03,6.24825750620508,9.86589691262967,11.625,16.017,5.26910524873463,0.714377114142735,2.5,4.841
2010,12.5505383347633,,2.295,3.435,8.05847360290906,4.96969696969698,2.793,7.049,7.33465645006753,5.57025640991597,11.637,16.096,6.33652342666889,13.4885847533618,3.03,5.852
2011,11.1782962297008,,2.27,3.42,5.1211061197056,4.94226327944574,2.699,6.924,7.95838869847094,8.97931447703577,11.756,16.289,7.67215543486064,11.1635375320899,3.47,6.761
2012,8.64781163513926,3.41704066349273,2.252,3.414,4.56867961444982,4.35739436619717,2.678,6.945,8.64150815836322,6.59329297203676,11.671,16.251,4.50015356010131,-2.87476288825165,3.223,6.26
2013,10.5822700502552,9.83873547128189,2.251,3.429,3.7978483925754,6.19991564740616,2.762,7.183,4.71984856978263,4.17937371915495,11.768,16.42,6.78158560065316,4.4356481750975,2.93,5.689
2014,10.2574929627477,6.52600315624711,2.361,3.634,5.02011100232484,4.20969023034155,2.767,7.253,6.16716615166932,6.40695273310519,11.837,16.554,6.73246186832483,5.34935250729242,2.125,3.693
2015,10.3924630141307,9.93724302357697,2.442,3.813,4.96772112759767,5.79935213414635,2.762,7.299,8.8568555974538,12.0048809082536,11.831,16.599,6.16062877406682,6.26264435467402,2.009,3.443
2016,9.43348265981905,3.81671250264029,2.556,4.031,4.21351706814744,4.50386593064198,2.757,7.333,5.97074525431094,4.21577340853771,11.788,16.595,6.86711619644551,1.11910002247515,1.931,3.241
2017,9.56418965754014,8.65041080723232,2.665,4.25,3.83795817364721,4.91045598833205,3.542,9.097,3.91817093628465,-0.915542802791009,11.875,16.732,6.72726996832338,4.18597194828112,1.854,3.037
2018,6.81614778557282,2.71743010362786,2.811,4.515,5.64794640709219,4.7297576676153,4.284,10.818,8.51646722592409,9.65344249075866,10.759,16.264,5.50267599385063,6.20358902723564,1.792,2.846
2019,8.36408573314054,13.6468947397347,2.928,4.752,5.11415885767801,5.00090160994786,5.014,12.547,9.44738518613097,2.0109007873548,11.236,16.052,5.79999999996723,3.13396930179638,1.735,2.657
2020,6.05953089054807,8.30519892342629,3.998,6.356,-0.272766327438816,-1.83110965310708,5.613,13.619,-3.37368746369782,1.27186116485605,11.829,15.947,1.99196460647855,0.946687254018229,1.792,2.746
2021,5.64153069257077,8.72180901762592,3.935,6.246,7.59048947333467,6.05567337902859,5.693,12.232,10.8584320184896,5.99182659520048,15.775,23.312,4.32138429480482,2.29999999993574,1.876,2.752
2022,5.32175988403378,5.66550862257802,3.386,5.45,4.85998104287999,2.33653817457203,5.565,15.488,8.16120720872912,12.0866804135974,15.084,22.203,4.56600576430955,4.60000000005377,1.573,2.344
2023,6.59424599357075,7.18321206990562,3.375,5.455,5.71999241214208,7.52336553425963,5.409,15.164,8.24990302014558,9.84379519048029,12.352,18.172,5.06952353203394,2.19999999991904,1.565,2.339
2024,7.61277447511073,10.0942877286162,3.357,5.449,4.72473994710138,6.92414507499066,5.487,15.477,8.89065529573114,4.20276069630458,11.331,16.555,5.5263138305945,3.10000000010685,1.557,2.334
