date,household_stress_index,digital_spend_index,jobs_interest_index,unga,maize flour,fuel price,rent,loan,internet bundles,safaricom bundles,smartphone price,laptop price,jobs in kenya,vacancies,BrighterMonday
2023-07-02,25.388601036269424,70.09345794392523,70.40816326530613,9,5,13,19,80,0,72,0,82,86,48,1
2023-07-09,22.279792746113987,65.42056074766354,66.3265306122449,8,6,13,18,75,0,77,0,72,85,46,0
2023-07-16,22.279792746113987,50.467289719626166,60.204081632653065,8,7,9,18,78,0,63,0,70,79,45,1
2023-07-23,31.088082901554397,79.43925233644859,65.30612244897961,9,6,9,19,94,1,81,0,82,80,49,1
2023-07-30,24.870466321243523,47.66355140186916,56.122448979591844,6,5,9,18,87,0,68,0,62,78,42,1
2023-08-06,22.797927461139896,64.48598130841121,51.02040816326531,7,4,5,17,88,0,67,0,81,75,40,1
2023-08-13,24.870466321243523,53.271028037383175,46.938775510204096,7,4,10,18,86,0,52,10,74,69,43,0
2023-08-20,24.870466321243523,76.63551401869158,43.87755102040817,8,4,7,18,88,0,68,12,81,71,37,1
2023-08-27,21.761658031088082,60.747663551401864,50.000000000000014,5,5,7,18,84,0,57,10,77,74,40,1
2023-09-03,23.834196891191713,80.37383177570094,60.204081632653065,7,6,6,19,85,0,70,14,81,77,48,0
2023-09-10,38.34196891191709,57.009345794392516,71.42857142857144,9,5,37,20,80,0,57,0,83,83,52,1
2023-09-17,30.051813471502587,59.813084112149525,47.95918367346938,15,5,23,18,74,0,58,0,85,69,43,1
2023-09-24,18.652849740932645,49.532710280373834,45.91836734693878,10,6,9,18,70,0,53,11,68,70,40,1
2023-10-01,15.025906735751294,36.44859813084112,33.673469387755105,8,4,6,15,73,0,51,0,67,65,33,1
2023-10-08,15.544041450777197,29.906542056074763,41.836734693877546,8,3,12,17,67,0,43,0,68,65,41,1
2023-10-15,18.652849740932645,55.140186915887845,38.77551020408163,7,5,15,18,68,0,55,16,67,66,37,1
2023-10-22,10.880829015544045,38.31775700934579,28.57142857142857,8,5,9,16,60,0,60,0,60,57,36,1
2023-10-29,10.880829015544045,42.05607476635514,31.6326530612245,7,4,8,18,61,1,59,8,56,61,35,1
2023-11-05,24.352331606217618,42.05607476635514,27.551020408163268,8,7,18,15,76,0,46,14,64,59,33,1
2023-11-12,29.01554404145078,31.775700934579437,37.75510204081633,7,6,26,17,77,0,57,0,56,64,38,1
2023-11-19,16.580310880829018,60.747663551401864,45.91836734693878,7,6,11,17,68,0,51,0,93,67,43,1
